Sr No.,Text,Emotion,StartTime,EndTime
1754,It is the right time.,joy,"0:16:55,014","0:16:56,266"
1755,Okay.,neutral,"0:16:56,266","0:16:57,703"
1756,‘Kay!,joy,"00:10:35,301","00:10:37,302"
1757,in the category of Favorite Returning Male Character the nominees are: John Wheeler from,neutral,"00:10:37,678","00:10:43,141"
1758,What the?!,surprise,"00:11:05,081","00:11:07,248"
1759,Yeah.,neutral,"0:13:30,893","0:13:31,995"
1760,"You’re an Aquarius, huh?",neutral,"0:13:31,995","0:13:34,073"
1761,I bet you’re a Gemini.,neutral,"0:13:35,773","0:13:37,455"
1762,Nope.,neutral,"0:13:37,455","0:13:38,121"
1763,Taurus?,neutral,"0:13:38,317","0:13:38,949"
1764,Nope.,neutral,"0:13:38,949","0:13:39,619"
1765,Virgo?,neutral,"0:13:39,735","0:13:40,987"
1766,Nope.,neutral,"0:13:40,987","0:13:41,613"
1767,Sagittarius?,neutral,"0:13:42,071","0:13:42,155"
1768,Yep.,neutral,"0:13:42,155","0:13:43,845"
1769,"I knew it! I knew it, ahh….",joy,"00:13:43,948","00:13:46,407"
1772,You’re not gonna speed anymore right?,neutral,"0:13:46,575","0:13:49,137"
1773,I won’t speed.,neutral,"0:13:49,137","0:13:49,627"
1774,And you promise you’ll get this taken care of right away?,neutral,"0:13:49,745","0:13:51,831"
1775,I promise.,neutral,"0:13:51,831","0:13:52,597"
1776,And in the meantime you better let him drive. Does he have a license?,neutral,"00:13:52,706","00:13:54,666"
1777,Yeah!,neutral,"0:13:54,834","0:13:55,086"
1778,Can he handle the stick?,neutral,"0:13:55,086","0:13:57,310"
1779,Oh well,neutral,"0:13:57,419","0:13:58,061"
1780,I can handle the stick!!,anger,"0:13:58,061","0:14:00,983"
1781,Hey!,joy,"0:02:27,844","0:02:28,971"
1785,I can’t believe this is taking so long. How are you doing?,sadness,"00:02:29,220","00:02:32,098"
1786,Oh not bad. Do you know that feeling when you’re trying to blow a Saint Bernard out your ass?,sadness,"00:02:32,265","00:02:37,478"
1787,Weirdest thing. Did I hear——Mother of God it’s true!,surprise,"00:02:40,565","00:02:45,987"
1788,Chandler Bing!,surprise,"00:02:46,904","00:02:50,908"
1789,Janice,surprise,"00:02:51,075","00:02:52,076"
1790,"Not just Janice, Janice in labor, contracting and everything.",joy,"00:02:52,243","00:02:56,789"
1791,"Oh, this should be easy. I have a very wide pelvis. You remember Chandler.",neutral,"00:02:58,249","00:03:01,586"
1792,Janice I didn’t even know you were pregnant! Who’s the unwitting human who’s essence you’ve stolen?,surprise,"00:03:07,258","00:03:13,473"
1793,It’s you. This is yours.,neutral,"00:03:15,516","00:03:19,604"
1794,What?!,surprise,"00:03:20,146","00:03:21,397"
1795,Look how nervous he gets! We haven’t slept together in years!,joy,"00:03:21,564","00:03:25,234"
1796,That’s funny. Does it-does it hurt? Does the labor hurt?,fear,"00:03:28,905","00:03:31,699"
1797,"Man, I’m starving! What the hell was I thinking at dinner?! ""Do you want soup or salad?"" Both! Always order both!",anger,"00:14:20,109","00:14:27,615"
1798,"Y’know, y’know I’m lookin’ and I don’t think anyone’s home here.",neutral,"00:14:29,785","00:14:33,955"
1799,"I say we just break the window, crawl through, and-and y’know explain later.",neutral,"00:14:34,123","00:14:40,837"
1800,Yeah? Really? No one’s home?,surprise,"00:14:41,088","00:14:42,964"
1801,I don’t think so. Hello?  When you get in there,neutral,"00:14:41,088","00:14:53,850"
1802,"Hey, what's up?",neutral,"00:06:55,456","00:06:57,666"
1803,I just saw Danny getting on the subway with a girl and he had his arm around her.,sadness,"00:06:57,834","00:07:02,921"
1804,"Oh, honey, I'm sorry.",sadness,"00:07:03,089","00:07:04,506"
1805,"Well, you should be, this is all your fault! You meddled in our relationship!!",anger,"00:07:04,757","00:07:11,596"
1806,You had no relationship!!,anger,"00:07:11,764","00:07:13,598"
1807,"No, but I was doing my thing and everything was going according to the plan!",anger,"00:07:13,766","00:07:18,603"
1808,"Oh God, stop with the plan!",anger,"00:07:18,771","00:07:22,149"
1809,"So what, so what you saw him with a girl?",neutral,"00:07:22,316","00:07:25,444"
1810,Who cares?!,anger,"0:07:25,611","0:07:27,363"
1811,That doesn't mean anything!,anger,"0:07:27,363","0:07:27,585"
1812,"Now look, you're going to go out on a date with Danny and you're going to be so charming he's gonna forget all about that stupid subway girl.",neutral,"00:07:27,697","00:07:33,577"
1813,She was kinda stupid.,neutral,"00:07:34,787","00:07:36,913"
1814,You're right.,neutral,"0:07:37,748","0:07:38,510"
1815,"All right, I'm just gonna go on the date.",neutral,"0:07:38,510","0:07:41,102"
1816,I'm gonna go on the date.,neutral,"0:07:41,102","0:07:41,391"
1817,That is the new plan.,neutral,"00:07:41,461","00:07:45,589"
1819,Hi.,neutral,"00:09:52,592","00:09:53,925"
1820,Phoebe!,surprise,"0:09:54,343","0:09:55,315"
1821,Ta-da.,joy,"0:09:55,315","0:09:56,264"
1822,Hey.,neutral,"0:09:57,346","0:09:58,139"
1823,Hi.,neutral,"0:09:58,139","0:09:58,830"
1824,"Ahh, look at you, you look great.",joy,"00:09:59,098","00:10:01,308"
1825,"Do I? Thank you, so do you.",neutral,"00:10:01,684","00:10:03,810"
1826,Thanks.,neutral,"0:10:04,186","0:10:05,688"
1827,Sparkly.,neutral,"0:10:05,688","0:10:06,938"
1828,"So, wow, this is pretty wonerful, huh.",joy,"00:10:09,025","00:10:15,572"
1829,Mr. major capades guy.,neutral,"00:10:10,318","00:10:15,572"
1830,"I, I remember when you were just, like, King Friday in Mr. Roger's Ice is Nice.",neutral,"00:10:16,824","00:10:21,494"
1831,You always said I'd make it.,joy,"00:10:23,080","00:10:24,789"
1832,"Yeah, well, ya know, I'm kind of spooky that way. Wooo.",neutral,"00:10:25,041","00:10:28,376"
1833,I missed you.  I'm gonna get changed.,neutral,"00:10:29,920","00:10:36,801"
1834,OK.,neutral,"00:10:34,800","00:10:36,801"
1835,"Um, now. Phoebs.",neutral,"00:10:39,055","00:10:40,764"
1836,"Oh, right, OK. Ole.",neutral,"00:10:43,559","00:10:45,685"
1837,What?,neutral,"00:10:46,270","00:10:48,980"
1838,"Um, the matador.  Ole, ha ha ha.",joy,"00:10:50,441","00:10:58,281"
1839,"Hi Joey it's Jane Rogers, can't wait    for your party tonight.",joy,"00:05:46,751","00:05:49,462"
1840,"Listen, I forgot your address, can you give me a call?",neutral,"0:05:49,629","0:05:52,341"
1841,"Thanks, bye.",neutral,"0:05:52,341","0:05:54,322"
1842,Hey!,joy,"0:05:55,676","0:05:56,344"
1843,Hey!,joy,"0:05:56,344","0:05:57,613"
1844,What's happening?,joy,"00:05:57,720","00:05:58,888"
1845,"Yeah, it's a real shame you can't make it to that one-woman    show tonight.",sadness,"00:05:59,138","00:06:03,351"
1846,"Oh, I'd love to, but I gotta get up so early the next day and    so, you know me, work comes first",neutral,"00:06:03,518","00:06:10,441"
1847,"Oh, yeah, yeah, yeah...",neutral,"00:06:06,729","00:06:10,441"
1848,"""Hi Joey, it's Jane Rogers can't wait for your party tonight""",joy,"00:06:11,943","00:06:15,488"
1849,Stupid Jane Rogers!!,anger,"00:06:17,281","00:06:19,575"
1850,You are having a party tonight??,surprise,"00:06:20,576","00:06:22,578"
1851,Kinda have a... a thing for the Days Of Our Life's people.,neutral,"00:06:23,120","00:06:26,290"
1852,And you weren't going to tell us? How did you think you were    gonna get away with that?,anger,"00:06:26,457","00:06:32,421"
1853,I do it every year.,neutral,"00:06:30,586","00:06:32,421"
1854,You do that every year??,surprise,"00:06:34,048","00:06:36,092"
1855,I didn't have to tell you that!! I'm stupider than Jane Rogers!!,anger,"00:06:36,259","00:06:41,472"
1856,"Oh, that's why you got these tickets to that play, to get rid    of us??",anger,"00:06:42,473","00:06:45,685"
1857,Yeah...,neutral,"00:06:45,852","00:06:46,936"
1858,And last year is that why you sent us to that medieval times    restaurant?,anger,"00:06:47,103","00:06:50,565"
1859,Yeah...,neutral,"00:06:50,731","00:06:51,941"
1860,"OH! And the year before that, when you set up that nighttime    tour of that button factory?",anger,"00:06:52,817","00:06:57,446"
1861,Who's this from?,surprise,"0:08:26,547","0:08:27,319"
1862,"Oh, that's Ross's.",neutral,"0:08:27,319","0:08:28,553"
1863,Oh...  Oh my God. He remembered.,surprise,"00:08:34,805","00:08:38,892"
1864,Remembered what?,neutral,"00:08:39,101","00:08:40,310"
1865,It was like months ago.,surprise,"00:08:40,520","00:08:42,229"
1866,"We were walking by this antique store, and I saw this pin in the window, and I told him that it was just like one my grandmother had when I was a little girl.",sadness,"00:08:42,438","00:08:49,819"
1867,Oh!,surprise,"00:08:50,029","00:08:51,029"
1868,I can't believe he remembered!,surprise,"00:08:50,029","00:08:53,365"
1869,"Oh, it's so pretty. This must have cost him a fortune.",surprise,"00:09:01,290","00:09:07,420"
1870,I can't believe he did this.,surprise,"00:09:04,460","00:09:07,420"
1871,"Come on, Ross? Remember back in college, when he fell in love with Carol and bought her that ridiculously expensive crystal duck?",neutral,"00:09:07,630","00:09:16,555"
1872,What did you just say?,surprise,"00:09:14,887","00:09:16,555"
1873,F-hah.... flennin....,fear,"00:09:41,247","00:09:42,998"
1874,Oh.... my God.,surprise,"00:09:46,377","00:09:49,379"
1875,I really like waking up with you.,joy,"00:19:59,698","00:20:01,282"
1876,"I like waking up with you too.  Oh! It's such a beautiful morning.  Oh, I can stay here all day.",joy,"00:19:59,698","00:20:07,163"
1877,That would be great!,joy,"00:20:09,166","00:20:10,917"
1878,We could have breakfast in bed,joy,"0:20:11,168","0:20:12,980"
1879,"Wait, just a second.",neutral,"0:20:12,980","0:20:13,729"
1880,Okay.  Oh! Oh no.,surprise,"00:20:15,797","00:20:19,425"
1881,"Well that was depressing, I think I just bought a soft pretzel from one of the kids from",sadness,"00:08:18,664","00:08:23,293"
1882,Um-hmm. Oh wait! This is Bonnie.,surprise,"00:08:24,170","00:08:27,214"
1883,Hi!,joy,"00:08:27,423","00:08:28,507"
1884,This is Bonnie?  This is Bonnie?  You’re Bonnie?,surprise,"00:08:29,509","00:08:30,675"
1885,I can show you an ID if you want?,neutral,"00:08:33,095","00:08:36,014"
1886,"Oh no, I’m sorry, you look a lot different from the last time I-I saw you.",surprise,"00:08:36,224","00:08:40,268"
1887,"Oh yeah, well I just started wearing bras again.",neutral,"00:08:40,520","00:08:43,396"
1888,"Oh, that must be it.",neutral,"00:08:44,190","00:08:45,941"
1889,Well I hope you have fun tonight.,neutral,"00:08:47,485","00:08:48,735"
1890,Thanks! You too.,joy,"00:08:48,945","00:08:50,153"
1891,I believe it.,neutral,"00:09:35,324","00:09:36,992"
1893,"Yes, I do.",neutral,"0:09:39,891","0:09:40,887"
1894,"No you do—y'know what, you’re not gonna suck me into this.",anger,"00:09:40,997","00:09:47,836"
1895,"Oh sure I am, because you always have to be right.",anger,"00:09:48,004","00:09:52,173"
1896,"I do not always have to be—okay, okay.",anger,"00:09:52,341","00:09:54,467"
1897,Jurassic Park,neutral,"00:09:58,347","00:10:00,140"
1898,"I'm telling you, something's wrong! My brother does not stay out all night.",fear,"00:09:12,760","00:09:15,887"
1899,Maybe we should check the trash chute.,neutral,"00:09:16,055","00:09:18,181"
1900,Ross couldn't fit down the trash chute.,neutral,"00:09:19,809","00:09:22,143"
1901,"That's right, he almost could. Which is exactly how I got stuck there.",neutral,"00:09:22,353","00:09:27,315"
1902,Hey!,neutral,"0:09:28,985","0:09:29,957"
1903,There he is!,joy,"0:09:29,957","0:09:30,415"
1904,Oh my God!  Where the hell have you been?!!,anger,"00:09:30,528","00:09:34,447"
1905,"Just, y'know out.",neutral,"00:09:35,283","00:09:37,534"
1906,"Ohh, out, oh God, I don't know why we didn't think to check there!",anger,"00:09:37,743","00:09:42,289"
1907,What were you doing?,neutral,"00:09:42,665","00:09:43,999"
1908,"I uh, went to a bar. And then I just uh, just walked around for a while.",neutral,"00:09:44,208","00:09:50,630"
1910,He hooked up! He hooked up with someone.,surprise,"00:09:55,845","00:10:00,390"
1911,"Look, I don't have to answer your questions! Okay? I'm a big boy, I can do whatever I want!",anger,"00:10:00,600","00:10:05,353"
1912,He hooked up!! Tell us about her!,joy,"00:10:05,563","00:10:11,067"
1913,Ross you left you scarf in… Hey you guys.,neutral,"00:10:11,861","00:10:22,454"
1915,"Oh yeah, that looks good.",neutral,"0:21:24,783","0:21:26,702"
1916,You guys make a,neutral,"0:21:26,702","0:21:29,238"
1917,"Yeah, we look great together.",joy,"00:21:32,165","00:21:35,751"
1919,Okay.,neutral,"00:21:36,253","00:21:37,712"
1920,Wow! Imagine what our kids would look like!,joy,"00:21:38,338","00:21:40,464"
1921,"Y’know, we don’t have to imagine.",neutral,"00:21:40,632","00:21:42,258"
1922,I’m marrying her.,joy,"00:21:44,469","00:21:46,012"
1923,We’ll just see.,neutral,"00:21:46,179","00:21:47,888"
1924,Hey! Hey! Be careful around my Porsche!,anger,"00:21:19,653","00:21:23,489"
1925,Hi Joey.,neutral,"00:21:25,284","00:21:27,451"
1926,Hey! How you doin’?,neutral,"00:21:27,619","00:21:29,245"
1927,He has the most amazing Porsche under there!,joy,"00:21:29,788","00:21:32,373"
1928,"I’d love to show ya, but I just tucked her in.",neutral,"0:21:32,541","0:21:34,961"
1929,She’s sleeping.,neutral,"0:21:34,961","0:21:35,729"
1930,"Hey uh, would you two girls like to go for a drink?",neutral,"00:21:37,337","00:21:39,422"
1931,"Well, the old lady died.",sadness,"0:21:21,905","0:21:24,387"
1932,And how do I know?,neutral,"0:21:24,387","0:21:26,002"
1933,Her dying wish was for one last kiss.,neutral,"00:21:26,118","00:21:29,495"
1934,"But I don’t care,  because you got the apartment.",joy,"0:21:31,832","0:21:35,054"
1935,Yes!,joy,"0:21:35,054","0:21:35,801"
1936,Ewww. Yeah. Umm. I think I’m gonna stay here.,disgust,"00:21:35,919","00:21:41,966"
1937,Isn’t that great?,joy,"00:21:42,134","00:21:44,260"
1938,Ezels!!,disgust,"00:21:47,389","00:21:48,973"
1939,"Smelly cat, smelly cat, what are they feeding you? Smelly cat, smelly cat, it’s not your fault.",neutral,"00:13:39,193","00:13:52,914"
1940,"Wow, that’s great.",joy,"00:13:53,707","00:13:54,999"
1941,"Oh, yeah!",joy,"00:13:55,167","00:13:58,169"
1942,"Y'know you could totally sell this. It’d be perfect for like umm, a kitty litter campaign.",neutral,"00:13:55,167","00:14:02,257"
1943,"I..., a jingle? No, no-no-no, no.",neutral,"00:14:03,092","00:14:05,343"
1944,What? Why not? You could make a ton of money.,surprise,"00:14:05,511","00:14:07,178"
1945,"Okay, well if I was in this for the money, I’d be a millionaire by now, y'know.",neutral,"00:14:07,346","00:14:10,849"
1946,You just got to get out of that jingle head sweetie.,neutral,"00:14:12,601","00:14:14,978"
1947,"Aw, you’re right, you’re right. I’m sorry.",neutral,"00:14:15,980","00:14:18,773"
1948,"That’s okay. All right, I’m gonna play song that’s really, really sad. It’s called Magician Box Mix Up.",joy,"00:14:18,941","00:14:26,406"
1949,"Okay sir, um-mm, let see if I got this right.",neutral,"00:18:29,691","00:18:31,859"
1950,"Ah, so this is a half-caf, double tall, easy hazel nut, non-fat, no foam, with whip, extra hot latte, right?",neutral,"00:18:35,656","00:18:40,701"
1951,"Okay, great.",joy,"00:18:40,869","00:18:42,370"
1952,You freak.,disgust,"00:18:42,538","00:18:44,956"
1953,Thank you.,joy,"0:18:50,712","0:18:53,173"
1954,"Um, coffee to go, please.",neutral,"0:18:53,173","0:18:54,252"
1955,Isabella Rosselini.,neutral,"00:18:57,886","00:18:59,387"
1956,Are you serious?  Oh my God.,surprise,"00:18:59,555","00:19:02,140"
1957,Damn! I can’t believe I took her off my list.,anger,"00:19:02,307","00:19:05,893"
1958,Why? ‘Cause otherwise you’d go for it?,neutral,"00:19:06,061","00:19:08,271"
1959,"Yeah, maybe.",neutral,"00:19:10,983","00:19:12,108"
1960,"Oh-oh, you lie.",disgust,"00:19:12,276","00:19:15,069"
1961,What you don’t think I’d go up to her?,neutral,"00:19:15,237","00:19:17,280"
1962,"Ross, it took you ten years to finally admit you liked me.",neutral,"00:19:17,447","00:19:21,242"
1963,"Yeah, well missy, you better be glad that list is laminated.",anger,"00:19:23,245","00:19:28,749"
1964,"You know what honey, you go ahead, we’ll call her an alternate.",neutral,"00:19:28,917","00:19:33,254"
1965,"Okay, hold my crawler.",neutral,"0:19:34,131","0:19:36,175"
1966,Okay.,neutral,"0:19:36,175","0:19:38,059"
1967,"Rach, are you really gonna let him do this?",surprise,"00:19:38,844","00:19:40,887"
1968,"Honey, he’s about to go hit on Isabella Rosselini. I’m just sorry we don’t got popcorn.",joy,"00:19:41,054","00:19:46,309"
1969,"Okay, that's, that's enough.",neutral,"00:21:54,646","00:21:56,397"
1971,Won't you dance around with me.,neutral,"00:22:04,406","00:22:06,866"
1972,A-ha!!!,surprise,"00:22:06,000","00:22:06,866"
1973,"Oh-oh-oh, yeah!  That's right, you take good care of those babies!",joy,"00:08:26,297","00:08:31,968"
1974,Excuse me?,surprise,"0:08:32,595","0:08:33,397"
1975,"It's me, Joey!",joy,"0:08:33,397","0:08:34,857"
1976,Do I know you?,surprise,"00:08:35,014","00:08:37,307"
1977,Joey!,joy,"00:08:37,517","00:08:38,892"
1978,"Oh-ho, yeah. Yeah, the hand guy.",neutral,"00:08:42,438","00:08:44,731"
1979,Okay that’s fair.,neutral,"00:09:30,861","00:09:34,573"
1980,All right.,neutral,"00:09:41,956","00:09:43,415"
1981,Good!,neutral,"00:13:09,121","00:13:10,663"
1982,Pick one.,neutral,"00:13:15,085","00:13:16,795"
1983,Left!  Thank you.,joy,"00:13:15,085","00:13:19,923"
1984,You’re welcome.,neutral,"00:13:17,797","00:13:19,923"
1985,Ross!,surprise,"00:13:22,176","00:13:24,511"
1986,Joey!  We should just switch.,neutral,"00:13:22,176","00:13:28,807"
1987,Yeah absolutely!,joy,"00:13:26,806","00:13:28,807"
1989,"Rachel, we’re sorry for pushing those guys on you.",sadness,"00:20:44,618","00:20:47,245"
1990,Oh that’s all right!,joy,"0:20:47,412","0:20:48,264"
1991,"Y’know, I ended up having a really good time.",joy,"0:20:48,264","0:20:50,186"
1992,"Y’know, the charity was a big success and they raised a lot of money and awareness.",joy,"00:20:50,290","00:20:54,752"
1993,So what was it for anyway?,neutral,"00:20:54,920","00:20:57,338"
1994,I wanna say a disease.,neutral,"00:20:58,298","00:21:00,466"
1995,Hey!,surprise,"0:21:02,719","0:21:03,281"
1996,Hey!,surprise,"0:21:03,281","0:21:03,979"
1997,I just got this really weird message from Ross. He said turn on,neutral,"00:21:04,096","00:21:08,432"
1999,"Oh my God, look! That’s Elizabeth!",surprise,"00:21:13,438","00:21:16,607"
2000,Oh-oh Professor Geller.,neutral,"00:21:24,700","00:21:28,244"
2001,"Ahh, to be 13 again.",neutral,"00:21:30,580","00:21:33,040"
2003,"Hey! So uh, was he excited about the tickets?",neutral,"0:13:44,573","0:13:46,826"
2004,No! He blew us off!,anger,"0:13:46,826","0:13:48,638"
2005,What?!,surprise,"0:13:48,744","0:13:49,166"
2006,I know!,surprise,"0:13:49,166","0:13:50,750"
2007,I can’t believe it.  Can I tell you something? I’m a little mad at him now.,anger,"00:13:50,871","00:13:57,919"
2008,Can I tell you something? Me too.,anger,"00:13:53,415","00:14:01,339"
2009,"Y’know what? He didn’t want to talk to us about being angry, well maybe we don’t talk to him",anger,"00:14:06,762","00:14:12,392"
2010,Ooooh! Freeze him out.,joy,"0:14:15,187","0:14:16,522"
2011,That’s right!,joy,"0:14:16,522","0:14:16,663"
2012,I like it!,joy,"00:14:16,772","00:14:18,356"
2013,Doorknob?,neutral,"00:07:48,718","00:07:50,635"
2014,"Yeah, it kinda grows on you.  Actually, I wanted to finish talking to you about uh, spring vacation.",neutral,"00:07:56,851","00:07:59,311"
2015,Oh good.,joy,"00:10:08,941","00:10:10,650"
2016,"Look, I…  Look, I’m having a great time with you and I just don’t want us to move to fast or put to much pressure on us.",fear,"00:10:12,403","00:10:26,916"
2017,"So, I’m sorry I just don’t think we should go away together yet.",sadness,"00:10:27,084","00:10:30,128"
2018,It’s-it’s too soon.,fear,"00:10:30,296","00:10:31,463"
2019,"Ross, I think you misunderstood what I was saying. I just wanted to tell you that I’m going to Florida for a couple weeks.",surprise,"00:10:31,631","00:10:40,263"
2020,No. I think you misunderstood what,surprise,"00:10:44,268","00:10:50,482"
2021,You are so adorable.,joy,"00:10:51,150","00:10:53,985"
2022,That! Let’s talk about that.,joy,"00:10:54,153","00:10:57,697"
2023,Hey!,joy,"0:16:55,848","0:16:57,809"
2024,How do you feel?,neutral,"0:16:57,809","0:16:58,343"
2025,"Well, let’s just say that Krog will be fully equipped to destroy the universe again in twelve to fourteen hours.",neutral,"00:16:58,434","00:17:04,272"
2026,"Okay, so I",neutral,"00:17:05,816","00:17:08,860"
2027,And protected them from a tornado?,neutral,"00:17:11,113","00:17:13,990"
2028,Oh my God.,surprise,"00:17:17,786","00:17:18,870"
2029,"I know, the babies are asleep.",neutral,"00:17:19,038","00:17:21,664"
2030,"Phoebe, what, what happened here?!",surprise,"00:17:22,332","00:17:24,417"
2031,I did it! I took care of the babies all by myself!,joy,"00:17:24,585","00:17:27,420"
2032,But my apartment!,surprise,"0:17:27,588","0:17:31,634"
2035,Is not as important as the fact that Phoebe took care of the babies all by herself.,neutral,"00:17:34,595","00:17:38,389"
2036,"You’re right, you’re right I shouldn’t freak out.",neutral,"00:17:39,725","00:17:42,518"
2037,‘Cause this is what will happen when you and I have babies!,neutral,"00:17:42,686","00:17:44,687"
2038,When will that be?,neutral,"00:17:44,855","00:17:46,689"
2040,"Phoebe, would you take a look at this mess!!!!",anger,"00:17:49,485","00:17:51,903"
2042,Hey Ross! The baby’s kicking!,joy,"00:06:26,200","00:06:28,160"
2043,What?! It is?!,surprise,"00:06:28,440","00:06:30,660"
2044,It’s not kicking right now. Although we would love to see you do  that again.,joy,"00:06:35,360","00:06:41,800"
2045,"Hey, when-when was it kicking? What happened?",joy,"00:06:42,080","00:06:43,840"
2046,Last night! I just felt it and I went into Joey’s room and he was sleeping,joy,"00:06:44,080","00:06:47,640"
2047,A dreamless sleep.,neutral,"00:06:47,840","00:06:50,360"
2048,"So c'mon, you guys, tell me all the dirt!",joy,"00:07:31,451","00:07:34,119"
2049,"Well, the biggest news is still you dumping Barry at the altar!",neutral,"00:07:34,287","00:07:38,123"
2050,Alright. Let's talk reality for a second.,neutral,"0:07:40,293","0:07:43,380"
2051,Okay.,neutral,"0:07:43,380","0:07:44,064"
2052,When are you coming home?,neutral,"00:07:44,172","00:07:46,506"
2053,"What? Guys, I'm not.",surprise,"00:07:46,674","00:07:47,799"
2054,"C'mon, this is us.",neutral,"00:07:47,967","00:07:52,637"
2055,I'm not! This is what I'm doing now. I've got this job-,neutral,"00:07:52,805","00:07:56,308"
2056,Waitressing?,surprise,"00:07:56,476","00:07:58,143"
2057,"Okay, I'm not just waitressing.",neutral,"00:07:56,476","00:08:01,062"
2058,I'm..,neutral,"00:07:58,311","00:08:01,062"
2059,"I, um...",neutral,"00:08:03,858","00:08:05,525"
2060,"I write the specials on the specials board, and, uh... and I, uh...",neutral,"00:08:06,110","00:08:09,654"
2061,"I take the uh dead flowers out of the vase... Oh, and, um, sometimes Artelle lets me put the little chocolate blobbies on the cookies.",sadness,"00:08:09,822","00:08:22,083"
2062,"We get off around midnight, why don't we pick you up then?",neutral,"00:22:03,155","00:22:05,489"
2063,"So, um, will you bring the truck?",neutral,"00:22:08,076","00:22:10,703"
2064,I'll even let you ring the bell.,neutral,"00:22:13,206","00:22:15,708"
2065,"Oh, my god.",surprise,"00:22:21,006","00:22:22,256"
2066,"See, there you go, the cleansing works!",joy,"00:22:23,383","00:22:27,720"
2067,They're nice guys.,neutral,"00:22:27,971","00:22:29,430"
2068,"Oh, they're firemen guys.",joy,"00:22:27,971","00:22:32,058"
2069,Your son.,neutral,"00:08:02,023","00:08:03,398"
2070,"No-no-no. I don't have a son named Jordie. We all agreed, my son's name is Jamie.",anger,"00:08:03,566","00:08:10,113"
2071,"Well, Jamie was the name of Susan's first girlfriend, so we went back to Jordie.",neutral,"00:08:07,320","00:08:12,574"
2072,"What? Whoa, whoa whoa whoa, what do you mean,",surprise,"00:08:12,950","00:08:16,703"
2073,"Ow, ow, ow, ow, leg cramp, leg cramp, leg cramp.",anger,"00:08:22,335","00:08:25,212"
2074,I got it.,neutral,"0:08:25,379","0:08:27,173"
2075,I got it.,neutral,"0:08:27,173","0:08:27,483"
2076,"I got it! Hey, you get to sleep with her, I get the cramps.",anger,"00:08:27,590","00:08:30,008"
2077,"No, you don't.",neutral,"00:08:30,176","00:08:31,343"
2078,"All right, that's it. I want both of you out.",anger,"00:08:31,511","00:08:33,803"
2079,Why?,surprise,"00:08:32,803","00:08:33,803"
2080,He started it!,anger,"0:08:33,971","0:08:34,973"
2081,"No, you started it.",anger,"0:08:34,973","0:08:35,487"
2083,"I don't care. I am trying to get a person out of my body here, and you're not making it any easier.",anger,"00:08:35,598","00:08:42,687"
2085,Now go!,anger,"00:08:39,227","00:08:42,687"
2086,Thanks a lot.,anger,"0:08:45,107","0:08:45,983"
2087,See what you did.,anger,"0:08:45,983","0:08:46,669"
2088,"Yeah, listen...",neutral,"0:08:46,776","0:08:47,694"
2089,Out,anger,"0:08:47,694","0:08:49,225"
2090,"Oh, and I can also speak a little French. Voulez-vous coucher avec moi ce soir?  Why? What did I say?",joy,"00:14:12,393","00:14:21,192"
2091,"Well, you just asked if I wanted to go to bed with you tonight.",neutral,"00:14:21,360","00:14:24,779"
2092,Oh my God! No wonder I get such great service at Cafe Maurice.,surprise,"00:14:28,534","00:14:33,872"
2093,"Knock, knock, knock, knock, hi.",neutral,"00:14:32,454","00:14:33,872"
2094,"Um, could you please tell Sergei that um, I was fascinated by what Boutros Boutros Gali said in the New York Times.",neutral,"00:14:34,123","00:14:42,088"
2095,You didn’t say Boutros Boutros Gali.,neutral,"0:14:45,676","0:14:47,698"
2096,Boutros Boutros Gali.,neutral,"0:14:47,698","0:14:48,557"
2097,He says he was too.,neutral,"00:14:53,058","00:14:54,225"
2098,Interesting.,neutral,"00:14:54,393","00:14:56,311"
2099,So I was wondering....,neutral,"00:14:57,521","00:14:59,772"
2100,"Okay, ah, before you get all talky again, umm, could you also please tell Sergei that I really like his suit.",joy,"00:14:59,940","00:15:09,282"
2101,"Eh, he said, thank you very much, he thinks you look very pretty tonight, your hair, golden like the sun.",joy,"00:15:22,838","00:15:28,343"
2102,So you're a chef?,neutral,"00:15:25,925","00:15:28,343"
2103,I’m also thinking about opening up my own restaurant.,joy,"00:15:29,845","00:15:32,221"
2104,"Oh, really.",surprise,"00:15:32,389","00:15:33,890"
2105,"Monica, can I talk to you behind my menu, please.  What are you doing?",neutral,"00:15:34,058","00:15:36,017"
2106,"Well, I was having a conversation.",neutral,"00:15:39,271","00:15:42,398"
2107,"Yeah but, Mischa is so interested in you, that Sergei and I haven’t been able to say two words to each other.",anger,"00:15:42,566","00:15:50,990"
2108,What do you want me to do? Just sit here silently while you three have a conversation?,anger,"00:15:47,821","00:15:50,990"
2109,That would be great. Thank you.,neutral,"00:15:51,158","00:15:52,867"
2110,so we finally get to the top of the mountain and airhead here  forgets the camera!,disgust,"00:15:09,575","00:15:15,496"
2111,"Oh, y'know the same thing happened to me one time.",neutral,"00:15:15,506","00:15:18,666"
2112,When did that happen to you?!,surprise,"00:15:19,960","00:15:22,670"
2113,Don't you remember when we were jogging in the park and we saw that really pretty bird and wanted to take a picture—I didn't have my camera!,neutral,"00:15:23,088","00:15:29,427"
2114,"Oh yeah. First off all, chasing the Churo guy isn't jogging.",disgust,"00:15:29,595","00:15:33,056"
2115,"Oh, this is so good  you have got to try it.",joy,"00:15:34,725","00:15:38,019"
